"","Region","Mean","Median","SD","Range"
"1","Central",11.5612178941997,9,9.26954592510384,182
"2","Downtown",9.31058296751536,7,7.07261785254804,150
"3","East",10.6748160029842,8.25,8.61909470288025,435
"4","West",13.3759215017065,11,10.2491641543725,317
